begin_ymd	dmID	cycle	phase	begin	end	duration_h	duration_m	magnitude	min	max	HIN_TEMP_PUP	HIN_RH_PUP	HIN_VPD_PUP	HIN_TEMP_BUP	HIN_RH_BUP	HIN_VPD_BUP	SER_TEMP	SER_RH	SER_VPD	SER_P	SER_RAD	year	HIN_TEMP_PUP_rel	HIN_RH_PUP_rel	HIN_VPD_PUP_rel	HIN_TEMP_BUP_rel	HIN_RH_BUP_rel	HIN_VPD_BUP_rel	SER_TEMP_rel	SER_RH_rel	SER_VPD_rel	HIN_TEMP_BUP_2	HIN_RH_BUP_2	HIN_VPD_BUP_2	HIN_TEMP_PUP_2	HIN_RH_PUP_2	HIN_VPD_PUP_2	SER_TEMP_2	SER_RH_2	SER_VPD_2	HIN_TEMP_PUP_3	HIN_RH_PUP_3	HIN_VPD_PUP_3	SM10	SM20	SM30	SM50	SM70	SM130	SM200	SMmean_up	SMmean_mid	SMmean_deep	SMmean	ST10	ST20	ST30	ST50	ST70	ST130	ST200	STmean_up	STmean_mid	STmean_deep	STmean	obs_1	obs_2
2014-05-12	mean_dt_scaled	52	1	12/5/14 4:00	12/5/14 15:00	11	660	1.883567531	-1.133415595	0.750151937	NA	NA	NA	NA	NA	NA	10.67272727	85.25454545	0.198332179	NA	168.1181818	2014	NA	NA	NA	NA	NA	NA	0.560078396	0.771951598	0.051255002	NA	NA	NA	NA	NA	NA	10.05543397	87.56231476	0.140534308	10.05543397	87.56231476	0.140534308	10.19053031	6.384424242	7.661757576	7.189969697	5.689969697	6.414272727	5.712439394	8.07890404	6.439969697	6.063356061	6.982559343	9.790378788	9.829090909	9.92969697	9.750151515	9.484393939	9.288712121	8.607424243	9.849722222	9.617272727	8.948068182	9.509491162	1	NA
2014-05-13	mean_dt_scaled	53	1	13/5/14 6:00	13/5/14 16:00	10	600	2.650741655	-1.455723129	1.195018526	NA	NA	NA	NA	NA	NA	12.17	69.8	0.464926505	NA	361.2	2014	NA	NA	NA	NA	NA	NA	0.584908789	0.596131968	0.10312296	NA	NA	NA	NA	NA	NA	11.35791226	72.96782033	0.378262803	11.35791226	72.96782033	0.378262803	10.1835	6.375	7.601933333	7.188666667	5.666733333	6.40185	5.714483333	8.053477778	6.4277	6.058166667	6.967151111	9.74	9.794333333	9.883333333	9.701333333	9.462833333	9.313833334	8.640500001	9.805888889	9.582083334	8.977166667	9.490130556	1	NA
2014-05-14				14/5/14 11:30	14/5/14 19:30			1.15651407	-0.312328681	0.84418539	NA	NA	NA	NA	NA	NA	10.71	75	0.33	0.3	232.64	2014	NA	NA	NA	NA	NA	NA	0.56	0.66	0.08	NA	NA	NA	NA	NA	NA	10.09	77.88	0.25	10.09	77.88	0.25	10.08	6.37	7.44	7.2	5.64	6.38	5.71	7.96	6.42	6.05	6.93	9.34	9.43	9.51	9.59	9.43	9.32	8.66	9.43	9.51	8.99	9.32	1	NA
2014-05-15	mean_dt_scaled	54	1	15/5/14 7:00	15/5/14 17:00	10	600	1.756925599	-0.921911448	0.835014151	NA	NA	NA	NA	NA	NA	13.55	72.71	0.450875207	NA	411.8	2014	NA	NA	NA	NA	NA	NA	0.607794361	0.62923777	0.100389173	NA	NA	NA	NA	NA	NA	12.55837495	75.71587778	0.365732926	12.55837495	75.71587778	0.365732926	10.03591667	6.380133333	7.3829	7.218	5.621833333	6.376	5.715083334	7.932983333	6.419916667	6.045541667	6.912830834	9.469416667	9.47	9.451666667	9.492333333	9.357666667	9.3075	8.677916667	9.463694444	9.425	8.992708333	9.310790278	1	NA
2014-05-16	mean_dt_scaled	55	1	16/5/14 6:00	16/5/14 17:00	11	660	2.738206966	-1.49673723	1.241469736	NA	NA	NA	NA	NA	NA	14.87272727	67.55454545	0.684883199	NA	521.2818182	2014	NA	NA	NA	NA	NA	NA	0.629730137	0.57058641	0.145917211	NA	NA	NA	NA	NA	NA	13.70901606	70.84732614	0.574403411	13.70901606	70.84732614	0.574403411	9.900151515	6.354575758	7.267090909	7.224666667	5.590515152	6.362893939	5.715545455	7.840606061	6.407590909	6.039219697	6.870285606	9.643333334	9.653030303	9.655757576	9.576060606	9.364242424	9.272121212	8.693106061	9.650707071	9.470151515	8.982613637	9.396112374	1	NA
2014-05-17	mean_dt_scaled	56	1	17/5/14 7:00	17/5/14 17:00	10	600	2.808123993	-1.149943499	1.658180494	NA	NA	NA	NA	NA	NA	17.55	65.97	0.773522872	NA	549.43	2014	NA	NA	NA	NA	NA	NA	0.674129353	0.552559727	0.163162735	NA	NA	NA	NA	NA	NA	16.03797694	69.35096121	0.653445514	16.03797694	69.35096121	0.653445514	9.733333333	6.3241	7.125133333	7.224333333	5.5601	6.354083333	5.726666667	7.727522222	6.392216667	6.040375	6.820786389	10.28258334	10.07633334	9.975833333	9.694666667	9.436833333	9.278916667	8.710333333	10.11158334	9.56575	8.994625	9.612745834	1	NA
2014-05-18																						2014																																												NA	1
2014-05-19	mean_dt_scaled	57	1	19/5/14 9:00	19/5/14 18:00	9	540	1.36963779	-0.623091198	0.746546592	NA	NA	NA	NA	NA	NA	15.27777778	83.08888889	0.307810491	NA	302.7888889	2014	NA	NA	NA	NA	NA	NA	0.636447393	0.747313867	0.072554842	NA	NA	NA	NA	NA	NA	14.0613697	85.51717776	0.238158721	14.0613697	85.51717776	0.238158721	11.57537037	6.810222222	7.393037037	7.242185185	5.519703704	6.35537037	5.750222222	8.592876543	6.380944445	6.052796296	7.16727284	10.90638889	10.49833333	10.36944445	10.06351852	9.720740741	9.405925926	8.749537037	10.59138889	9.89212963	9.077731482	9.927513889	1	NA
2014-05-20	mean_dt_scaled	58	1	20/5/14 7:00	20/5/14 16:00	9	540	2.889574567	-1.691601363	1.197973204	NA	NA	NA	NA	NA	NA	21.01111111	70.11111111	0.931489212	NA	591.2777778	2014	NA	NA	NA	NA	NA	NA	0.731527547	0.599671344	0.19389629	NA	NA	NA	NA	NA	NA	19.04879921	73.261618	0.794307851	19.04879921	73.261618	0.794307851	11.24138889	6.872814815	7.282111111	7.281444444	6.114592592	6.353703704	5.740074074	8.465438271	6.698018519	6.046888889	7.209647531	11.28555556	10.80166667	10.61666667	10.22759259	9.853703704	9.488796297	8.764074075	10.9012963	10.04064815	9.126435185	10.11064352	1	NA
2014-05-21	mean_dt_scaled	59	1	21/5/14 6:00	21/5/14 16:00	10	600	3.457583714	-1.603265268	1.854318446	NA	NA	NA	NA	NA	NA	23.19	60.64	1.428347415	NA	568.05	2014	NA	NA	NA	NA	NA	NA	0.767661692	0.491922639	0.29056384	NA	NA	NA	NA	NA	NA	20.94421574	64.31757763	1.237368114	20.94421574	64.31757763	1.237368114	10.78325	6.889566667	7.171366667	7.300566667	6.819333333	6.328916667	5.751316667	8.281394444	7.05995	6.040116667	7.242577778	12.79091667	12.028	11.36883334	10.77433333	10.078	9.595166667	8.787	12.06258334	10.42616667	9.191083334	10.71020833	1	NA
